候选编号,构造可行,随机种子,运输架次数,多服务区架次数,加权迟到（加权s）,迟到箱数,全部返航时刻（s）,末箱交付时刻（s）,总能耗（kWh）,计算时间（s）,指标与入选方案相同,失败原因,搜索参数或精修记录
S36,是,20260959,23,8,6847.61448594,2,10872.0335921,10081.498681,77.0749370643,0.174403699999,否,,"{""energy_weight"": 160.0, ""hard_bonus"": 0.0, ""hard_first"": true, ""late_weight"": 20.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 3, ""neighbors"": 4, ""noise"": 30.0, ""packing_power"": 1.5, ""plan_limit"": 32, ""priority"": ""hard"", ""wait_weight"": 0.5}"
S37,是,20260960,27,0,0,0,7977.65327083,7473.69260074,75.7440484866,0.0211943000031,否,,"{""energy_weight"": 20.0, ""hard_bonus"": 0.5, ""hard_first"": false, ""late_weight"": 2.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 1, ""neighbors"": 4, ""noise"": 3.0, ""packing_power"": 0.75, ""plan_limit"": 32, ""priority"": ""target"", ""wait_weight"": 0.0}"
S38,是,20260961,25,14,4211.93376837,4,10598.9949617,9919.81981323,77.8121179327,0.0569776000011,否,,"{""energy_weight"": 80.0, ""hard_bonus"": 0.5, ""hard_first"": true, ""late_weight"": 2.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 2, ""neighbors"": 4, ""noise"": 10.0, ""packing_power"": 0.75, ""plan_limit"": 32, ""priority"": ""target"", ""wait_weight"": 0.0}"
S39,是,20260962,24,12,334.65611274,1,11099.2480135,10381.6896706,80.0274390618,0.207382000001,否,,"{""energy_weight"": 160.0, ""hard_bonus"": 0.5, ""hard_first"": false, ""late_weight"": 2.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 3, ""neighbors"": 4, ""noise"": 30.0, ""packing_power"": 0.75, ""plan_limit"": 32, ""priority"": ""target"", ""wait_weight"": 0.0}"
S40,是,20260963,26,0,0,0,7977.65327083,7473.69260074,70.6735028013,0.0188142000006,否,,"{""energy_weight"": 20.0, ""hard_bonus"": 0.5, ""hard_first"": true, ""late_weight"": 2.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 1, ""neighbors"": 4, ""noise"": 3.0, ""packing_power"": 1.0, ""plan_limit"": 32, ""priority"": ""target"", ""wait_weight"": 0.0}"
S41,是,20260964,24,14,0,0,10119.1105683,9417.09982072,76.4902497315,0.0486882999976,否,,"{""energy_weight"": 80.0, ""hard_bonus"": 0.5, ""hard_first"": false, ""late_weight"": 8.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 2, ""neighbors"": 4, ""noise"": 10.0, ""packing_power"": 1.0, ""plan_limit"": 32, ""priority"": ""slack"", ""wait_weight"": 0.0}"
S42,是,20260965,27,14,9232.66284346,4,8732.28060625,8228.31993617,84.985987682,0.169116500001,否,,"{""energy_weight"": 160.0, ""hard_bonus"": 0.5, ""hard_first"": true, ""late_weight"": 8.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 3, ""neighbors"": 4, ""noise"": 30.0, ""packing_power"": 1.0, ""plan_limit"": 32, ""priority"": ""slack"", ""wait_weight"": 0.0}"
S43,是,20260966,27,0,0,0,7977.65327083,7473.69260074,71.3662865754,0.0202314000016,否,,"{""energy_weight"": 20.0, ""hard_bonus"": 0.5, ""hard_first"": false, ""late_weight"": 8.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 1, ""neighbors"": 4, ""noise"": 3.0, ""packing_power"": 1.25, ""plan_limit"": 32, ""priority"": ""slack"", ""wait_weight"": 0.5}"
S44,是,20260967,26,17,3906.76260465,1,10171.87396,9469.86321245,86.4631479626,0.0541163999987,否,,"{""energy_weight"": 80.0, ""hard_bonus"": 0.5, ""hard_first"": true, ""late_weight"": 8.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 2, ""neighbors"": 4, ""noise"": 10.0, ""packing_power"": 1.25, ""plan_limit"": 32, ""priority"": ""slack"", ""wait_weight"": 0.5}"
S45,是,20260968,23,12,47694.3726291,6,10129.6533834,9427.6426358,77.390335215,0.211317199999,否,,"{""energy_weight"": 160.0, ""hard_bonus"": 0.5, ""hard_first"": false, ""late_weight"": 20.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 3, ""neighbors"": 4, ""noise"": 30.0, ""packing_power"": 1.25, ""plan_limit"": 32, ""priority"": ""hard"", ""wait_weight"": 0.5}"
S46,是,20260969,26,0,2704.15871971,1,7893.88067372,7161.64311893,72.3429560299,0.0197579999985,否,,"{""energy_weight"": 20.0, ""hard_bonus"": 0.5, ""hard_first"": true, ""late_weight"": 20.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 1, ""neighbors"": 4, ""noise"": 3.0, ""packing_power"": 1.5, ""plan_limit"": 32, ""priority"": ""hard"", ""wait_weight"": 0.5}"
S47,是,20260970,23,12,0,0,9869.28156016,9198.59236795,78.7644480026,0.0419823000011,否,,"{""energy_weight"": 80.0, ""hard_bonus"": 0.5, ""hard_first"": false, ""late_weight"": 20.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 2, ""neighbors"": 4, ""noise"": 10.0, ""packing_power"": 1.5, ""plan_limit"": 32, ""priority"": ""hard"", ""wait_weight"": 0.5}"
S48,是,20260971,25,11,33381.3934609,2,10598.8593215,9896.84857393,80.9363499918,0.167691999999,否,,"{""energy_weight"": 160.0, ""hard_bonus"": 0.5, ""hard_first"": true, ""late_weight"": 20.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 3, ""neighbors"": 4, ""noise"": 30.0, ""packing_power"": 1.5, ""plan_limit"": 32, ""priority"": ""hard"", ""wait_weight"": 0.5}"
CP1,是,,26,0,0,0,7367.19134017,6863.23067008,71.9643261414,0.162324399997,否,,"{""candidate_metrics"": {""boxes_delivered"": 80, ""hard_deadline_violations"": 0, ""last_delivery_s"": 6863.230670084498, ""late_boxes"": 0, ""makespan_s"": 7367.191340168996, ""max_tardiness_s"": 0.0, ""min_transport_soc"": 0.2149046608856866, ""multi_stop_sorties"": 0, ""sorties_by_type"": {""A"": 13, ""B"": 6, ""C"": 7}, ""total_energy_kwh"": 71.96432614141051, ""transport_energy_kwh"": 71.96432614141051, ""transport_sorties"": 26, ""weighted_tardiness"": 0.0}, ""fixed"": [""box batches"", ""route order"", ""transport type""], ""horizon_s"": 8512, ""method"": ""CP-SAT fixed-structure timing and interval coloring"", ""phase_1_weighted_tardiness"": {""objective"": 0.0, ""objective_bound"": 0.0, ""status"": ""OPTIMAL"", ""wall_time_s"": 0.0086368}, ""phase_2_makespan"": {""objective"": 7368.0, ""objective_bound"": 7368.0, ""status"": ""OPTIMAL"", ""wall_time_s"": 0.14373650000000002}, ""previous_metrics"": {""boxes_delivered"": 80, ""hard_deadline_violations"": 0, ""last_delivery_s"": 7407.6926007410075, ""late_boxes"": 0, ""makespan_s"": 7911.653270825505, ""max_tardiness_s"": 0.0, ""min_transport_soc"": 0.2149046608856866, ""multi_stop_sorties"": 0, ""sorties_by_type"": {""A"": 13, ""B"": 6, ""C"": 7}, ""total_energy_kwh"": 71.96432614141051, ""transport_energy_kwh"": 71.96432614141051, ""transport_sorties"": 26, ""weighted_tardiness"": 0.0}, ""runtime_s"": 0.162324399996578, ""scope"": ""Bounds apply only to this fixed, conservatively rounded timing model; no full-problem optimum claim."", ""seed"": 20260924, ""status"": ""IMPROVED"", ""time_grid_s"": 1, ""time_limit_s"": 40.0, ""weight_integer_scale"": 1, ""workers"": 1}"
CP2,是,,26,0,0,0,7278.19134017,6774.23067008,70.1868227431,0.058795099998,是,,"{""candidate_metrics"": {""boxes_delivered"": 80, ""hard_deadline_violations"": 0, ""last_delivery_s"": 6774.230670084498, ""late_boxes"": 0, ""makespan_s"": 7278.191340168996, ""max_tardiness_s"": 0.0, ""min_transport_soc"": 0.2095840589615542, ""multi_stop_sorties"": 0, ""sorties_by_type"": {""A"": 11, ""B"": 8, ""C"": 7}, ""total_energy_kwh"": 70.18682274307065, ""transport_energy_kwh"": 70.18682274307065, ""transport_sorties"": 26, ""weighted_tardiness"": 0.0}, ""fixed"": [""box batches"", ""route order"", ""transport type""], ""horizon_s"": 8578, ""method"": ""CP-SAT fixed-structure timing and interval coloring"", ""phase_1_weighted_tardiness"": {""objective"": 0.0, ""objective_bound"": 0.0, ""status"": ""OPTIMAL"", ""wall_time_s"": 0.005332}, ""phase_2_makespan"": {""objective"": 7279.0, ""objective_bound"": 7279.0, ""status"": ""OPTIMAL"", ""wall_time_s"": 0.048460600000000006}, ""previous_metrics"": {""boxes_delivered"": 80, ""hard_deadline_violations"": 0, ""last_delivery_s"": 7473.6926007410075, ""late_boxes"": 0, ""makespan_s"": 7977.653270825505, ""max_tardiness_s"": 0.0, ""min_transport_soc"": 0.2095840589615542, ""multi_stop_sorties"": 0, ""sorties_by_type"": {""A"": 11, ""B"": 8, ""C"": 7}, ""total_energy_kwh"": 70.18682274307065, ""transport_energy_kwh"": 70.18682274307065, ""transport_sorties"": 26, ""weighted_tardiness"": 0.0}, ""runtime_s"": 0.05879509999795118, ""scope"": ""Bounds apply only to this fixed, conservatively rounded timing model; no full-problem optimum claim."", ""seed"": 20260925, ""status"": ""IMPROVED"", ""time_grid_s"": 1, ""time_limit_s"": 40.0, ""weight_integer_scale"": 1, ""workers"": 1}"
